player_name,team,league,age,minutes_played,progressive_passes_per90,progressive_pass_distance_per90,progressive_carries_per90,passes_into_final_third_per90,pass_completion_pct_medium,pass_completion_pct_long,passes_under_pressure_per90,aerial_duels_won_pct,tackles_per90,interceptions_per90
Prospect CB 31,Aston Villa,Serie A,30,1089,3.81,249.3,1.33,2.52,93.8,70.6,8.3,64.8,1.69,1.37
Prospect CB 32,Atalanta,Serie A,29,2152,5.06,312.0,0.95,2.43,94.0,68.5,8.0,58.9,1.68,1.18
Prospect CB 33,PSV,Bundesliga,21,989,3.08,334.9,0.9,2.13,87.9,63.7,10.4,53.5,1.54,1.28
Prospect CB 34,Real Sociedad,Ligue 1,23,2517,5.82,282.1,1.37,4.03,87.9,66.2,8.1,71.7,1.55,1.83
Prospect CB 35,Feyenoord,Serie A,18,2384,4.5,338.2,2.12,3.38,89.6,76.0,9.4,67.4,1.26,1.21
Prospect CB 36,Porto,Eredivisie,18,950,3.52,329.8,1.47,3.6,89.0,69.9,9.9,62.0,2.17,1.23
Prospect CB 37,Atalanta,Eredivisie,31,1662,3.38,347.9,2.04,3.9,87.5,70.3,5.9,71.2,2.15,1.36
Prospect CB 38,Girona,Premier League,23,2258,5.77,297.9,0.45,3.16,90.3,71.8,5.5,62.0,1.28,1.6
Prospect CB 39,Real Sociedad,Liga Portugal,26,3042,5.75,323.4,1.58,2.47,92.5,70.8,8.8,62.6,1.25,1.55
Prospect CB 40,Atalanta,Ligue 1,19,1503,4.09,356.5,2.14,5.11,91.8,70.6,7.7,57.6,1.55,1.32
