player_name,team,league,age,minutes_played,progressive_passes_per90,progressive_pass_distance_per90,progressive_carries_per90,passes_into_final_third_per90,pass_completion_pct_medium,pass_completion_pct_long,passes_under_pressure_per90,aerial_duels_won_pct,tackles_per90,interceptions_per90,progressive_passes_per90_percentile,progressive_pass_distance_per90_percentile,progressive_carries_per90_percentile,passes_into_final_third_per90_percentile,pass_completion_pct_medium_percentile,pass_completion_pct_long_percentile,passes_under_pressure_per90_percentile,aerial_duels_won_pct_percentile,col_scaled,col_scaled,col_scaled,col_scaled,col_scaled,col_scaled,col_scaled,col_scaled
Riccardo Calafiori,Bologna,Serie A,21,2450,5.2,390.5,2.2,4.0,89.8,73.4,9.4,67.2,2.1,1.8,73.3,66.7,95.0,75.0,45.8,61.7,80.8,79.2,0.712041884816754,0.6120502817511919,0.8578431372549019,0.6,0.5156249999999991,0.5271739130434789,0.6842105263157896,0.4945848375451267
Ousmane Diomande,Sporting CP,Primeira Liga,20,2200,4.6,370.0,2.0,3.2,92.4,75.0,8.7,66.5,1.9,1.3,45.0,56.7,86.7,45.8,70.8,68.3,58.3,75.0,0.5549738219895286,0.5231902904204595,0.7598039215686274,0.37142857142857144,0.71875,0.6141304347826089,0.5614035087719298,0.4693140794223827
Micky van de Ven,Tottenham,Premier League,22,2210,3.4,310.0,2.4,2.2,94.1,72.0,7.9,57.8,2.0,1.4,11.7,16.7,98.3,5.0,91.7,50.0,27.5,16.7,0.24083769633507845,0.2631122670134374,0.9558823529411763,0.08571428571428574,0.8515624999999991,0.45108695652173925,0.42105263157894757,0.15523465703971118
Jean-Clair Todibo,Nice,Ligue 1,24,2500,5.1,415.0,1.7,3.8,91.8,76.5,9.2,63.9,2.2,1.6,68.3,81.7,69.2,66.7,60.8,80.0,77.5,61.7,0.6858638743455496,0.7182488079757261,0.6127450980392156,0.5428571428571428,0.6718749999999991,0.6956521739130435,0.6491228070175439,0.37545126353790614
Harry Maguire,Manchester United,Premier League,31,1650,4.5,385.0,0.8,3.2,87.6,73.0,7.2,76.8,1.5,1.4,40.8,63.3,15.0,45.8,18.3,60.0,11.7,98.3,0.5287958115183247,0.588209796272215,0.1715686274509804,0.37142857142857144,0.3437499999999991,0.5054347826086958,0.29824561403508776,0.8411552346570397
Kim Min-jae,Bayern Munich,Bundesliga,27,2100,5.3,420.0,1.2,3.9,93.0,78.0,8.8,68.0,2.3,2.1,75.0,86.7,39.2,70.8,79.2,90.8,64.2,85.0,0.738219895287958,0.7399219765929779,0.3676470588235293,0.5714285714285713,0.7656249999999991,0.7771739130434789,0.5789473684210529,0.523465703971119
Edmond Tapsoba,Bayer Leverkusen,Bundesliga,25,2350,5.7,435.0,1.8,4.4,92.5,77.2,9.5,61.2,1.7,1.4,80.0,93.3,79.2,86.7,74.2,85.0,84.2,38.3,0.8429319371727748,0.8049414824447334,0.6617647058823529,0.7142857142857143,0.7265624999999991,0.7336956521739135,0.7017543859649122,0.27797833935018046
Jonathan Tah,Bayer Leverkusen,Bundesliga,28,2600,4.7,390.0,0.9,3.0,94.5,81.0,8.0,72.5,1.6,1.5,48.3,65.0,18.3,33.3,94.2,96.7,32.5,96.7,0.581151832460733,0.6098829648894668,0.22058823529411764,0.3142857142857143,0.8828124999999991,0.9402173913043481,0.4385964912280702,0.6859205776173285
Gabriel Magalhães,Arsenal,Premier League,26,3050,3.9,340.0,0.7,2.4,89.2,70.5,7.4,66.0,1.7,1.2,23.3,35.0,12.5,8.3,35.8,35.0,15.0,71.7,0.3717277486910995,0.39315127871694844,0.12254901960784309,0.1428571428571428,0.46875,0.36956521739130466,0.3333333333333335,0.4512635379061374
Marc Guéhi,Crystal Palace,Premier League,23,2200,4.0,330.0,1.1,2.6,88.5,69.8,8.1,60.5,1.9,1.5,26.7,26.7,28.3,18.3,26.7,30.0,38.3,30.8,0.39790575916230364,0.3498049414824447,0.31862745098039214,0.20000000000000007,0.4140624999999991,0.3315217391304346,0.45614035087719285,0.25270758122743686
Prospect CB 1,Stuttgart,Bundesliga,30,2194,4.88,428.5,1.18,3.01,94.5,75.8,7.6,65.8,1.61,1.26,55.0,90.0,33.3,35.8,94.2,71.7,20.0,70.0,0.6282722513089005,0.7767663632423061,0.3578431372549019,0.31714285714285706,0.8828124999999991,0.6576086956521743,0.368421052631579,0.4440433212996391
Prospect CB 2,PSV,Eredivisie,30,1647,4.32,340.7,1.03,3.11,89.8,68.2,8.4,62.3,2.25,1.37,36.7,36.7,25.0,41.7,45.8,15.8,50.0,45.0,0.48167539267015713,0.3961855223233637,0.28431372549019607,0.34571428571428564,0.5156249999999991,0.24456521739130466,0.5087719298245614,0.31768953068592065
Prospect CB 3,Stuttgart,Ligue 1,26,3114,2.48,410.4,1.69,2.32,93.0,73.9,7.7,55.5,2.03,1.19,1.7,76.7,66.7,6.7,79.2,65.0,24.2,8.3,0.0,0.6983094928478542,0.6078431372549019,0.12,0.7656249999999991,0.5543478260869574,0.38596491228070184,0.07220216606498209
Prospect CB 4,Juventus,Eredivisie,27,2400,4.96,367.7,1.24,2.96,83.8,68.4,7.6,68.8,1.94,0.87,58.3,55.0,45.0,31.7,5.0,18.3,20.0,88.3,0.6492146596858639,0.5132206328565236,0.38725490196078427,0.3028571428571428,0.04687499999999911,0.25543478260869623,0.368421052631579,0.5523465703971118
Prospect CB 5,Porto,Ligue 1,32,964,4.26,347.6,0.52,2.56,92.3,75.4,9.1,63.5,2.06,1.47,31.7,40.0,4.2,15.0,68.3,70.0,73.3,57.5,0.46596858638743455,0.42609449501517127,0.03431372549019607,0.1885714285714286,0.7109374999999991,0.635869565217392,0.631578947368421,0.36101083032491
Prospect CB 6,Porto,Bundesliga,19,1402,3.3,306.2,1.71,4.28,88.7,77.0,8.7,58.6,1.94,1.86,8.3,13.3,72.5,85.0,28.3,83.3,58.3,21.7,0.2146596858638743,0.24664065886432596,0.6176470588235293,0.68,0.4296875,0.722826086956522,0.5614035087719298,0.18411552346570392
Prospect CB 7,Stuttgart,Serie A,26,1106,3.94,357.3,0.59,4.03,92.2,72.1,7.5,53.5,1.48,1.62,25.0,51.7,9.2,77.5,66.7,51.7,16.7,2.5,0.38219895287958106,0.46814044213263983,0.06862745098039214,0.6085714285714287,0.703125,0.4565217391304346,0.3508771929824561,0.0
Prospect CB 8,Stuttgart,Serie A,20,2719,5.12,374.8,1.04,3.61,89.3,76.8,7.3,60.5,1.64,0.96,71.7,60.0,26.7,58.3,38.3,81.7,13.3,30.8,0.6910994764397906,0.5439965322930214,0.2892156862745098,0.48857142857142855,0.4765624999999991,0.7119565217391304,0.3157894736842106,0.25270758122743686
Prospect CB 9,Girona,Ligue 1,26,2182,4.3,349.4,0.59,2.86,87.8,68.0,8.0,64.9,2.55,1.45,35.0,43.3,9.2,26.7,21.7,13.3,32.5,66.7,0.4764397905759161,0.4338968357173818,0.06862745098039214,0.27428571428571424,0.3593749999999991,0.23369565217391308,0.4385964912280702,0.4115523465703972
Prospect CB 10,Aston Villa,Eredivisie,18,1463,5.04,312.5,0.92,3.57,88.8,73.7,8.1,61.1,2.37,1.72,65.0,20.0,21.7,51.7,30.0,63.3,38.3,36.7,0.6701570680628273,0.27394885132206337,0.2303921568627451,0.477142857142857,0.4374999999999991,0.5434782608695659,0.45614035087719285,0.2743682310469313
Prospect CB 11,Atalanta,Bundesliga,27,2595,6.24,415.4,1.19,2.65,91.5,68.9,8.7,62.4,2.29,1.28,98.3,83.3,35.8,20.0,58.3,24.2,58.3,46.7,0.9842931937172774,0.7199826614651061,0.3627450980392156,0.2142857142857143,0.6484374999999991,0.2826086956521743,0.5614035087719298,0.3212996389891698
Prospect CB 12,Aston Villa,Premier League,29,1086,5.84,399.3,1.3,2.91,91.3,65.9,8.9,57.0,2.05,1.35,88.3,71.7,46.7,28.3,56.7,5.8,69.2,11.7,0.8795811518324608,0.6501950585175553,0.41666666666666663,0.2885714285714286,0.6328124999999991,0.11956521739130466,0.5964912280701755,0.12635379061371843
Prospect CB 13,Aston Villa,Serie A,29,2869,5.03,304.6,1.41,4.25,83.4,72.9,8.5,67.2,1.31,1.0,63.3,11.7,55.8,83.3,3.3,58.3,54.2,79.2,0.6675392670157068,0.23970524490680556,0.47058823529411764,0.6714285714285714,0.015625,0.5000000000000004,0.5263157894736843,0.4945848375451267
Prospect CB 14,Real Sociedad,Bundesliga,25,3001,4.86,414.8,1.41,3.88,89.6,65.9,9.6,70.5,2.09,1.11,53.3,80.0,55.8,68.3,42.5,5.8,87.5,90.0,0.6230366492146597,0.717381881231036,0.47058823529411764,0.5657142857142857,0.4999999999999991,0.11956521739130466,0.7192982456140351,0.6137184115523464
Prospect CB 15,Aston Villa,Eredivisie,22,1715,4.99,417.1,1.51,3.95,86.0,72.7,6.4,57.9,2.15,1.33,60.0,85.0,61.7,73.3,12.5,55.0,5.8,18.3,0.6570680628272252,0.7273515387949718,0.5196078431372548,0.5857142857142857,0.2187499999999991,0.48913043478260887,0.1578947368421053,0.15884476534296033
Prospect CB 16,Feyenoord,Serie A,19,1697,5.53,412.7,1.11,3.6,96.0,71.8,8.2,63.6,2.04,1.3,78.3,78.3,30.0,55.0,99.2,45.8,43.3,60.0,0.7984293193717278,0.70827915041179,0.32352941176470595,0.48571428571428565,1.0,0.44021739130434767,0.4736842105263157,0.36462093862815914
Prospect CB 17,Porto,Ligue 1,25,1201,3.89,395.0,1.82,2.93,85.8,69.4,9.1,63.1,2.05,1.93,21.7,69.2,81.7,30.0,10.0,28.3,73.3,53.3,0.369109947643979,0.6315561335067186,0.6715686274509803,0.2942857142857144,0.2031249999999991,0.3097826086956528,0.631578947368421,0.3465703971119134
Prospect CB 18,Monaco,La Liga,32,2586,4.35,308.6,1.48,3.65,92.8,77.3,6.4,56.9,2.01,1.55,38.3,15.0,60.0,61.7,76.7,86.7,5.8,10.0,0.4895287958115182,0.2570437798006069,0.5049019607843137,0.4999999999999999,0.7499999999999991,0.7391304347826089,0.1578947368421053,0.12274368231046928
Prospect CB 19,Porto,Ligue 1,29,2429,3.8,354.3,0.52,4.8,84.8,78.0,8.4,63.3,1.94,0.84,17.5,46.7,4.2,90.8,8.3,90.8,50.0,55.0,0.3455497382198952,0.4551365409622887,0.03431372549019607,0.8285714285714284,0.12499999999999911,0.7771739130434789,0.5087719298245614,0.3537906137184117
Prospect CB 20,Atalanta,Premier League,25,2495,4.79,302.8,2.49,4.67,93.8,76.1,8.2,65.2,2.22,1.21,50.8,10.0,100.0,88.3,87.5,75.8,43.3,68.3,0.6047120418848166,0.2319029042045948,1.0,0.7914285714285715,0.8281249999999991,0.6739130434782612,0.4736842105263157,0.42238267148014463
Prospect CB 21,Real Sociedad,Bundesliga,27,2874,3.64,334.0,1.23,2.57,87.7,72.8,8.0,67.5,1.67,1.34,15.0,28.3,43.3,16.7,20.0,56.7,32.5,83.3,0.3036649214659686,0.3671434763762462,0.38235294117647056,0.1914285714285714,0.3515625,0.4945652173913042,0.4385964912280702,0.5054151624548737
Prospect CB 22,Porto,Ligue 1,22,1796,6.21,406.5,0.54,2.81,93.4,68.5,8.8,67.1,1.43,1.38,95.0,73.3,6.7,25.0,83.3,20.8,64.2,76.7,0.9764397905759161,0.6814044213263979,0.04411764705882354,0.26,0.796875,0.2608695652173916,0.5789473684210529,0.49097472924187713
Prospect CB 23,Atalanta,Liga Portugal,21,2212,6.2,337.6,1.14,3.62,96.0,72.4,9.5,71.8,1.94,1.68,92.5,31.7,31.7,60.0,99.2,53.3,84.2,95.0,0.9738219895287958,0.3827481577806675,0.33823529411764697,0.49142857142857144,1.0,0.4728260869565224,0.7017543859649122,0.6606498194945849
Prospect CB 24,Girona,Bundesliga,19,2468,6.22,272.2,1.22,3.67,90.0,68.9,7.9,59.5,1.56,1.65,96.7,3.3,41.7,63.3,48.3,24.2,27.5,26.7,0.9790575916230366,0.09926311226701334,0.37745098039215685,0.5057142857142857,0.5312499999999991,0.2826086956521743,0.42105263157894757,0.21660649819494582
Prospect CB 25,Girona,La Liga,22,2549,5.11,373.8,1.71,3.7,86.1,69.2,9.2,66.2,1.79,1.44,70.0,58.3,72.5,65.0,15.0,26.7,77.5,73.3,0.6884816753926701,0.5396618985695709,0.6176470588235293,0.5142857142857143,0.2265624999999991,0.2989130434782612,0.6491228070175439,0.4584837545126357
Prospect CB 26,Brighton,Premier League,24,3043,4.79,350.9,1.19,4.08,91.9,76.1,9.9,62.6,2.07,1.31,50.8,45.0,35.8,80.0,63.3,75.8,92.5,49.2,0.6047120418848166,0.44039878630255735,0.3627450980392156,0.6228571428571429,0.6796875,0.6739130434782612,0.7719298245614037,0.3285198555956681
Prospect CB 27,Aston Villa,Bundesliga,29,975,4.65,354.4,1.2,4.82,86.0,71.9,8.5,57.7,1.22,1.48,46.7,48.3,39.2,93.3,12.5,48.3,54.2,15.0,0.5680628272251309,0.45557000433463357,0.3676470588235293,0.8342857142857144,0.2187499999999991,0.4456521739130439,0.5263157894736843,0.15162454873646247
Prospect CB 28,Atalanta,Liga Portugal,26,1962,4.29,319.6,1.34,2.66,92.4,71.3,7.1,60.6,1.97,1.23,33.3,21.7,50.0,21.7,70.8,43.3,10.0,33.3,0.47382198952879584,0.30472475075856087,0.4362745098039216,0.2171428571428572,0.71875,0.4130434782608696,0.2807017543859649,0.256317689530686
Prospect CB 29,Aston Villa,Ligue 1,23,2442,3.0,342.7,1.74,3.01,89.2,66.1,8.8,53.7,1.92,1.34,5.0,38.3,76.7,35.8,35.8,8.3,64.2,5.0,0.1361256544502618,0.40485478977026434,0.6323529411764706,0.31714285714285706,0.46875,0.13043478260869534,0.5789473684210529,0.0072202166064982976
Prospect CB 30,Girona,Bundesliga,23,2710,4.58,426.4,1.73,3.07,88.9,67.0,8.2,60.8,1.93,1.15,43.3,88.3,75.0,38.3,31.7,11.7,43.3,35.0,0.549738219895288,0.7676636324230601,0.6274509803921569,0.3342857142857142,0.4453125,0.17934782608695654,0.4736842105263157,0.26353790613718386
Prospect CB 31,Aston Villa,Serie A,30,1089,3.81,249.3,1.33,2.52,93.8,70.6,8.3,64.8,1.69,1.37,20.0,1.7,48.3,13.3,87.5,37.5,46.7,65.0,0.3481675392670157,0.0,0.43137254901960786,0.17714285714285716,0.8281249999999991,0.375,0.4912280701754388,0.40794223826714804
Prospect CB 32,Atalanta,Serie A,29,2152,5.06,312.0,0.95,2.43,94.0,68.5,8.0,58.9,1.68,1.18,66.7,18.3,23.3,10.0,90.0,20.8,32.5,23.3,0.6753926701570678,0.27178153446033804,0.24509803921568624,0.15142857142857147,0.8437499999999991,0.2608695652173916,0.4385964912280702,0.19494584837545137
Prospect CB 33,PSV,Bundesliga,21,989,3.08,334.9,0.9,2.13,87.9,63.7,10.4,53.5,1.54,1.28,6.7,30.0,18.3,3.3,24.2,1.7,95.8,2.5,0.15706806282722507,0.3710446467273514,0.22058823529411764,0.06571428571428573,0.3671875,0.0,0.8596491228070178,0.0
Prospect CB 34,Real Sociedad,Ligue 1,23,2517,5.82,282.1,1.37,4.03,87.9,66.2,8.1,71.7,1.55,1.83,86.7,5.0,51.7,77.5,24.2,10.0,38.3,93.3,0.87434554973822,0.14217598612917226,0.4509803921568628,0.6085714285714287,0.3671875,0.13586956521739157,0.45614035087719285,0.6570397111913358
Prospect CB 35,Feyenoord,Serie A,18,2384,4.5,338.2,2.12,3.38,89.6,76.0,9.4,67.4,1.26,1.21,40.8,33.3,91.7,48.3,42.5,73.3,80.8,81.7,0.5287958115183247,0.3853489380147377,0.8186274509803922,0.4228571428571428,0.4999999999999991,0.6684782608695659,0.6842105263157896,0.501805054151625
Prospect CB 36,Porto,Eredivisie,18,950,3.52,329.8,1.47,3.6,89.0,69.9,9.9,62.0,2.17,1.23,13.3,25.0,58.3,55.0,33.3,31.7,92.5,42.5,0.2722513089005235,0.34893801473775476,0.5,0.48571428571428565,0.4531249999999991,0.3369565217391308,0.7719298245614037,0.3068592057761732
Prospect CB 37,Atalanta,Eredivisie,31,1662,3.38,347.9,2.04,3.9,87.5,70.3,5.9,71.2,2.15,1.36,10.0,41.7,88.3,70.8,16.7,33.3,3.3,91.7,0.23560209424083767,0.42739488513220625,0.7794117647058824,0.5714285714285713,0.3359374999999991,0.3586956521739131,0.07017543859649122,0.6389891696750905
Prospect CB 38,Girona,Premier League,23,2258,5.77,297.9,0.45,3.16,90.3,71.8,5.5,62.0,1.28,1.6,83.3,8.3,1.7,43.3,50.0,45.8,1.7,42.5,0.8612565445026177,0.21066319895968788,0.0,0.36,0.5546874999999991,0.44021739130434767,0.0,0.3068592057761732
Prospect CB 39,Real Sociedad,Liga Portugal,26,3042,5.75,323.4,1.58,2.47,92.5,70.8,8.8,62.6,1.25,1.55,81.7,23.3,63.3,11.7,74.2,40.0,64.2,49.2,0.8560209424083769,0.3211963589076723,0.553921568627451,0.16285714285714292,0.7265624999999991,0.38586956521739113,0.5789473684210529,0.3285198555956681
Prospect CB 40,Atalanta,Ligue 1,19,1503,4.09,356.5,2.14,5.11,91.8,70.6,7.7,57.6,1.55,1.32,28.3,50.0,93.3,96.7,60.8,37.5,24.2,13.3,0.4214659685863873,0.4646727351538795,0.8284313725490197,0.9171428571428571,0.6718749999999991,0.375,0.38596491228070184,0.14801444043321332
